,year,population,co2,co2_including_luc,cumulative_co2,cumulative_co2_including_luc,temperature_change,prediction
0,1880,1410781184.0,859.418,4804.295,18665.34,106277.43999999999,-0.29,-0.18350000000000002
1,1881,1419053260.0,888.936,4786.424,19554.277,111063.85500000001,-0.18,-0.17509999999999995
2,1882,1428684731.0,938.5949999999999,4869.326,20491.771999999997,115917.69900000001,-0.21,-0.17269999999999994
3,1883,1438945690.0,998.508,4963.694,21491.915,121006.995,-0.28,-0.20929999999999999
4,1884,1449344483.0,1009.514,4974.201,22499.79,125840.921,-0.43000000000000005,-0.24859999999999988
5,1885,1459885258.0,1017.5699999999999,5028.646,23517.364,130869.56599999999,-0.43000000000000005,-0.2996999999999997
6,1886,1470574930.0,1033.631,5019.081,24550.967,135846.253,-0.43000000000000005,-0.3023999999999998
7,1887,1481418187.0,1084.342,5113.585,25635.307,140959.836,-0.43000000000000005,-0.29339999999999994
8,1888,1492419944.0,1199.96,5247.446,26836.908,146347.56,-0.23,-0.2562000000000001
9,1889,1503207223.0,1199.801,5219.651,28035.068,151411.752,-0.17,-0.2442000000000001
10,1890,1514684936.0,1308.376,5776.762,29343.474,157230.913,-0.38,-0.23860000000000006
11,1891,1524130552.0,1370.327,5968.312,30713.803,163199.231,-0.25,-0.25079999999999997
12,1892,1534207857.0,1381.848,6151.128000000001,32097.292,169505.815,-0.39,-0.26799999999999996
13,1893,1544050891.0,1367.669,6189.015,33464.959,175694.819,-0.47,-0.2545999999999999
14,1894,1554005039.0,1413.312,6247.151,34878.276,181941.972,-0.38,-0.23949999999999994
15,1895,1564071964.0,1498.809,6383.13,36377.083,188325.1,-0.3,-0.19770000000000004
16,1896,1574253346.0,1546.779,6435.04,37923.854,194760.147,-0.19,-0.1663
17,1897,1584548368.0,1622.528,6543.331999999999,39546.386,201303.47799999997,-0.16,-0.1528999999999999
18,1898,1594958772.0,1711.76,6662.1669999999995,41258.146,207965.652,-0.28,-0.15319999999999992
19,1899,1606061348.0,1873.8020000000001,6868.956,43131.948,214834.596,-0.19999999999999998,-0.15970000000000004
20,1900,1618980623.0,1979.392,7133.3330000000005,45111.335,221967.931,-0.09,-0.18139999999999987
21,1901,1630447601.0,2037.721,7316.419,47149.058,229284.355,-0.12,-0.22159999999999985
22,1902,1643718477.0,2084.496,7485.136,49233.549,236769.495,-0.33,-0.28509999999999996
