,year,population,co2,co2_including_luc,cumulative_co2,cumulative_co2_including_luc,temperature_change,prediction
0,1880,87820827.0,3.073,46.785,37.471000000000004,607.475,-0.05000000000000001,-0.13329999999999992
1,1881,88716936.0,3.641,44.510999999999996,41.112,651.985,0.0,-0.13249999999999992
2,1882,89737053.0,4.2780000000000005,45.566,45.389,697.552,-0.01,-0.13149999999999992
3,1883,90827838.0,5.074,49.654,50.463,747.2059999999999,-0.07,-0.13509999999999991
4,1884,91936995.0,5.617,88.731,56.080000000000005,835.937,-0.15,-0.1398999999999999
5,1885,93117971.0,6.041,92.32,62.12,928.257,-0.24,-0.1563999999999999
6,1886,94286006.0,6.064,89.548,68.185,1017.8050000000001,-0.20000000000000004,-0.15829999999999989
7,1887,95485682.0,7.401,119.937,75.586,1137.742,-0.29,-0.15879999999999989
8,1888,96687516.0,7.949999999999999,119.221,83.53499999999998,1256.963,-0.12,-0.15879999999999989
9,1889,97858643.0,9.46,359.07399999999996,92.996,1616.038,-0.04,-0.15879999999999989
10,1890,99074410.0,8.565999999999999,477.805,101.56,2093.84,-0.32,-0.15879999999999989
11,1891,100131745.0,9.681,624.617,111.241,2718.458,-0.19000000000000003,-0.1581999999999999
12,1892,101202750.0,10.084,668.5690000000001,121.324,3387.027,-0.15,-0.1581999999999999
13,1893,102254582.0,11.12,706.7339999999999,132.443,4093.761,-0.15,-0.1556999999999999
14,1894,103346677.0,13.076,724.948,145.51999999999998,4818.711,-0.21,-0.1556999999999999
15,1895,104491017.0,15.309,760.884,160.82999999999998,5579.597,-0.15,-0.1556999999999999
16,1896,105623014.0,16.936,771.4749999999999,177.766,6351.067,-0.03,-0.15449999999999992
17,1897,106801317.0,18.427,762.297,196.19100000000003,7113.3640000000005,-0.05000000000000001,-0.1526999999999999
18,1898,108003728.0,21.053,759.106,217.244,7872.471,-0.26,-0.1525999999999999
19,1899,109268202.0,21.230999999999998,781.464,238.474,8653.936000000002,-0.14,-0.1523999999999999
20,1900,110646613.0,19.312,813.9069999999999,257.788,9467.845,-0.06,-0.1527999999999999
21,1901,111839721.0,26.732,1003.0400000000001,284.52099999999996,10470.882000000001,-0.18000000000000002,-0.15359999999999993
22,1902,113152541.0,29.18,1022.6270000000001,313.70099999999996,11493.511,-0.22,-0.15609999999999993
23,1903,114457430.0,32.967,1030.571,346.667,12524.083,-0.36000000000000004,-0.17469999999999997
