,year,temp_glob,pred_temp_glob_rfr,temp_hem_N,pred_temp_hem_N_rfr,temp_hem_S,pred_temp_hem_S_rfr,temp_24N_44N,pred_temp_24N_44N_rfr,temp_24S_EQU,pred_temp_24S_EQU_rfr,temp_EQU_24N,pred_temp_EQU_24N_rfr,temp_90S_64S,pred_temp_90S_64S_rfr,temp_44S_24S,pred_temp_44S_24S_rfr,temp_44N_64N,pred_temp_44N_64N_rfr,temp_64N_90N,pred_temp_64N_90N_rfr,pred_temp_glob_lin,pred_temp_hem_N_lin,pred_temp_hem_S_lin,pred_temp_24N_44N_lin,pred_temp_24S_EQU_lin,pred_temp_EQU_24N_lin,pred_temp_90S_64S_lin,pred_temp_44S_24S_lin,pred_temp_44N_64N_lin,pred_temp_64N_90N_lin
0,1880,-0.17,-0.15019999999999994,-0.29,-0.16910000000000008,-0.05000000000000001,-0.13179999999999994,-0.28,-0.13179999999999994,-0.11,-0.13179999999999994,-0.15,-0.13179999999999994,0.68,-0.13179999999999994,-0.04,-0.13179999999999994,-0.51,-0.13179999999999994,-0.79,-0.13179999999999994,-0.24636343122380921,-0.2424984963208452,-0.5852741065139497,-0.44311801838468057,-0.5882284841659065,-0.5260281872016428,-0.5975326160416365,-0.5945782383896798,-0.4696181181205503,-0.5963320207388882
1,1881,-0.09,-0.11499999999999994,-0.18,-0.15349999999999994,0.0,-0.12699999999999995,-0.19,-0.12699999999999995,0.1,-0.12699999999999995,0.09999999999999999,-0.12699999999999995,0.6,-0.12699999999999995,-0.06,-0.12699999999999995,-0.48000000000000004,-0.12699999999999995,-0.91,-0.12699999999999995,-0.2481586056069638,-0.24302967563293976,-0.5948261516126223,-0.44932587082975317,-0.5978957435400503,-0.5351908544067427,-0.6072673129199657,-0.6041977209925378,-0.4743004781833271,-0.6060144109730068
2,1882,-0.11,-0.12419999999999991,-0.21,-0.15469999999999987,-0.01,-0.12499999999999993,-0.14,-0.12499999999999993,-0.05,-0.12499999999999993,-0.049999999999999996,-0.12499999999999993,0.63,-0.12499999999999993,0.01,-0.12499999999999993,-0.29,-0.12499999999999993,-1.3999999999999997,-0.12499999999999993,-0.2502256792259594,-0.24402130727963822,-0.6043622353864464,-0.455967062768881,-0.6075469123810642,-0.5442019470305759,-0.6170020097982984,-0.6138173328036842,-0.47916345052912845,-0.6156948763459482
3,1883,-0.17,-0.18020000000000003,-0.28,-0.19770000000000004,-0.07,-0.12879999999999991,-0.24,-0.12879999999999991,-0.15,-0.12879999999999991,-0.17,-0.12879999999999991,0.5,-0.12879999999999991,-0.04,-0.12879999999999991,-0.57,-0.12879999999999991,-0.15,-0.12879999999999991,-0.25236422801642533,-0.24488271512486648,-0.6138862498903812,-0.46200127077623065,-0.6171827860423562,-0.5531498787294034,-0.6267367066766276,-0.6234401705246526,-0.4845679340259217,-0.6253737516231972
4,1884,-0.28,-0.23839999999999992,-0.43000000000000005,-0.2534999999999998,-0.15,-0.13559999999999992,-0.47000000000000003,-0.13559999999999992,-0.17,-0.13559999999999992,-0.12,-0.13559999999999992,0.65,-0.13559999999999992,-0.19,-0.13559999999999992,-0.65,-0.13559999999999992,-1.28,-0.13559999999999992,-0.25268984682635676,-0.2444761804552158,-0.6232996317069848,-0.46850498913568117,-0.6267632013988909,-0.5620860870776738,-0.6364714035549568,-0.6330078338630543,-0.48824609391962426,-0.6350532209871034
5,1885,-0.33,-0.30999999999999944,-0.43000000000000005,-0.2959999999999997,-0.24,-0.15419999999999992,-0.4600000000000001,-0.15419999999999992,-0.2,-0.15419999999999992,-0.06,-0.15419999999999992,0.82,-0.15419999999999992,-0.34,-0.15419999999999992,-0.69,-0.1519999999999999,-1.4799999999999998,-0.15419999999999992,-0.2528581982618583,-0.24351171291797868,-0.6327071644167468,-0.4743797510042711,-0.6363372956100761,-0.5709895955314259,-0.646206100433286,-0.6425759692399495,-0.49202749366877185,-0.6447331740133642
6,1886,-0.31,-0.3114999999999995,-0.43000000000000005,-0.2991999999999998,-0.20000000000000004,-0.15629999999999994,-0.4000000000000001,-0.15629999999999994,-0.18,-0.15629999999999994,-0.21,-0.15629999999999994,0.59,-0.15629999999999994,-0.2,-0.15629999999999994,-0.51,-0.15249999999999994,-1.5599999999999998,-0.15629999999999994,-0.25318132870620147,-0.24299017240464238,-0.6421098927420879,-0.4806423793524992,-0.6459223233191267,-0.5799091433547545,-0.6559407973116187,-0.6521283667345763,-0.4958553671689643,-0.654405674463284
7,1887,-0.36,-0.33079999999999965,-0.43000000000000005,-0.2897999999999999,-0.29,-0.15499999999999992,-0.29,-0.15499999999999992,-0.3,-0.15499999999999992,-0.29,-0.15499999999999992,0.32,-0.15499999999999992,-0.28,-0.15499999999999992,-0.52,-0.15119999999999992,-1.74,-0.15499999999999992,-0.2546358060407208,-0.24348047645703375,-0.6514801040699467,-0.48707867430641727,-0.6554821495488703,-0.5888178430445627,-0.6656754941899479,-0.6616734487110243,-0.5005299987426213,-0.664080442933269
8,1888,-0.17,-0.2338000000000002,-0.23,-0.24710000000000018,-0.12,-0.15359999999999993,-0.24,-0.15359999999999993,0.13,-0.15359999999999993,0.08,-0.15359999999999993,0.16,-0.15359999999999993,-0.31,-0.15359999999999993,-0.44,-0.15559999999999993,-1.27,-0.15359999999999993,-0.2583673720100954,-0.24593692881218487,-0.660835601660061,-0.4948457315783159,-0.6650486764771912,-0.5977145970723576,-0.675410191068277,-0.6711971162511468,-0.505853881355673,-0.6737532920106695
9,1889,-0.1,-0.2338000000000002,-0.17,-0.2395000000000002,-0.04,-0.15359999999999993,-0.27,-0.15359999999999993,0.14,-0.15359999999999993,0.02,-0.15359999999999993,0.45,-0.15359999999999993,-0.15,-0.15359999999999993,-0.23,-0.15719999999999992,-0.66,-0.15359999999999993,-0.2578405339751839,-0.24480918708124833,-0.6696120548619859,-0.49945599037812016,-0.6740029758881043,-0.6066783663719555,-0.6851448879466062,-0.6807539669204914,-0.5106817632491385,-0.6834277309218528
