,year,population,co2,co2_including_luc,co2_including_luc_per_capita,cumulative_co2,cumulative_co2_including_luc,temperature_change
0,1880,1415841209.0,853.916,4227.557,2.986,18639.336,104200.164,-0.17
1,1881,1423704727.0,883.544,4223.011,2.966,19522.879,108423.188,-0.09
2,1882,1433553127.0,933.36,4338.779,3.027,20456.24,112761.961,-0.11
3,1883,1444009167.0,992.754,4468.314,3.094,21448.994,117230.273,-0.17
4,1884,1454595037.0,1004.134,4487.73,3.085,22453.129,121718.008,-0.28
5,1885,1465369425.0,1011.637,4489.396,3.064,23464.766,126207.398,-0.33
6,1886,1476245076.0,1027.417,4553.248,3.084,24492.184,130760.648,-0.31
7,1887,1487277339.0,1078.747,4662.31,3.135,25570.93,135422.953,-0.36
8,1888,1498437207.0,1194.353,4787.32,3.195,26765.283,140210.281,-0.17
9,1889,1509373834.0,1194.624,4779.677,3.167,27959.906,144989.969,-0.1
10,1890,1521669265.0,1300.362,5149.284,3.384,29260.27,150139.234,-0.35
11,1891,1530611585.0,1361.75,5317.637,3.474,30622.02,155456.875,-0.22
12,1892,1540822549.0,1372.396,5370.761,3.486,31994.414,160827.641,-0.27
13,1893,1550822689.0,1355.477,5431.018,3.502,33349.891,166258.656,-0.31
14,1894,1560960959.0,1403.019,5514.442,3.533,34752.914,171773.094,-0.3
15,1895,1571250732.0,1487.432,5638.879,3.589,36240.344,177411.984,-0.22
16,1896,1581628826.0,1536.366,5730.021,3.623,37776.711,183141.984,-0.11
17,1897,1592152786.0,1609.232,5816.969,3.654,39385.941,188958.969,-0.11
18,1898,1602801870.0,1697.166,5936.182,3.704,41083.109,194895.156,-0.27
19,1899,1614109121.0,1853.709,6152.229,3.812,42936.816,201047.375,-0.17
20,1900,1627883132.0,1952.209,6329.529,3.888,44889.027,207376.906,-0.08
21,1901,1638647517.0,2016.744,6434.71,3.927,46905.77,213811.609,-0.15
22,1902,1651840077.0,2067.684,6553.995,3.968,48973.457,220365.609,-0.28
23,1903,1665703540.0,2254.1,6750.158,4.052,51227.555,227115.766,-0.37
24,1904,1679752718.0,2279.747,6863.032,4.086,53507.301,233978.812,-0.47
25,1905,1693984163.0,2427.318,7025.284,4.147,55934.621,241004.078,-0.26
26,1906,1708411294.0,2534.733,7158.701,4.19,58469.352,248162.781,-0.22
27,1907,1723032738.0,2888.318,7554.789,4.385,61357.672,255717.578,-0.38
28,1908,1737874788.0,2776.441,7481.688,4.305,64134.109,263199.25,-0.42
29,1909,1752122665.0,2890.495,7636.352,4.358,67024.609,270835.625,-0.48
30,1910,1767847653.0,3034.09,7676.793,4.342,70058.695,278512.406,-0.43
31,1911,1778784032.0,3079.502,7687.947,4.322,73138.203,286200.375,-0.44
32,1912,1791197929.0,3235.964,7785.76,4.347,76374.164,293986.094,-0.36
33,1913,1803056235.0,3506.276,8044.91,4.462,79880.438,302031.0,-0.34
34,1914,1815104863.0,3180.355,7716.73,4.251,83060.797,309747.75,-0.15
35,1915,1827290389.0,3134.854,7625.049,4.173,86195.648,317372.781,-0.13
36,1916,1839559287.0,3385.858,7828.739,4.256,89581.5,325201.531,-0.35
37,1917,1851899055.0,3540.427,7968.798,4.303,93121.93,333170.344,-0.45
38,1918,1864869126.0,3493.264,7948.688,4.262,96615.195,341119.031,-0.29
39,1919,1878650358.0,3029.007,7442.319,3.962,99644.203,348561.344,-0.27
40,1920,1895682150.0,3521.427,8129.836,4.289,103165.633,356691.188,-0.27
41,1921,1908748639.0,3090.097,7821.921,4.098,106255.727,364513.094,-0.19
42,1922,1924826120.0,3240.314,8034.376,4.174,109496.039,372547.5,-0.28
43,1923,1941636900.0,3676.233,8464.214,4.359,113172.273,381011.688,-0.26
44,1924,1958716901.0,3687.22,8494.181,4.337,116859.492,389505.875,-0.27
45,1925,1976068839.0,3727.034,8601.766,4.353,120586.523,398107.625,-0.22
46,1926,1993719848.0,3661.03,8519.336,4.273,124247.555,406627.0,-0.11
47,1927,2011689749.0,3996.129,8862.959,4.406,128243.688,415489.938,-0.22
48,1928,2029682397.0,3978.763,8853.838,4.362,132222.453,424343.75,-0.2
49,1929,2048513689.0,4270.908,9159.99,4.472,136493.359,433503.75,-0.36
